n log_a5 sigma f_out logL
1.011296374553035449e+00 -8.025057428086718403e+00 2.082933892494771566e-01 8.563168261353516775e-02 -4.091990387193229981e+04
1.232135111103844993e+00 -8.095134265970470366e+00 1.066527564154288732e-01 3.698406475921756434e-03 -3.806555313188511354e+04
1.042075731724381615e+00 -8.705582078593533168e+00 1.806028019007120955e-01 1.748234932551784478e-03 -3.532803461346948461e+04
1.307162244162290099e+00 -8.075066565649246186e+00 7.027497230354307067e-02 6.128865053981947218e-03 -3.414475593165810278e+04
1.017014554141895344e+00 -8.282834817267390903e+00 5.820602784858371070e-02 9.803238687456794498e-02 -3.338279865556317964e+04
1.142705960101026097e+00 -8.269559190306935648e+00 1.628918553793700374e-01 3.420574797654135635e-02 -3.081440908630506237e+04
1.322622931848500993e+00 -8.145358414134719283e+00 1.179035221428168384e-01 1.559915502910150936e-02 -2.941744009480642126e+04
1.240325567180063260e+00 -8.787831862569039032e+00 7.471498945311763618e-02 2.830709292485844835e-03 -2.844359281728957285e+04
1.308361859896819190e+00 -8.023685865331129818e+00 2.470737358912916681e-01 4.521141637716873801e-02 -2.786985325402185845e+04
1.118443535928831167e+00 -8.908958683044726712e+00 9.415848632997159129e-02 8.917281429036217136e-03 -2.538039185042033205e+04
1.044893294921721338e+00 -8.692227600050472347e+00 2.147681105066094331e-01 6.079021629610299737e-02 -2.442157979454524320e+04
1.427433325820496757e+00 -8.321491503020720160e+00 1.015175082466902856e-01 1.883753107603555396e-02 -2.409291899494755853e+04
1.133660446956466394e+00 -8.560044699918680777e+00 6.362198522174795923e-02 7.053863507969647395e-02 -2.371333597259387898e+04
1.767554226263323702e+00 -8.106046803292009884e+00 2.317768356455481848e-01 6.501453715671357166e-03 -2.210228214040353487e+04
1.266043343958627831e+00 -8.860136888920283837e+00 1.170993972778500841e-01 1.241209047548838020e-02 -2.180166336473238698e+04
1.532691588410059591e+00 -8.442925763787661353e+00 6.492552048828144351e-02 1.684285799842463391e-02 -2.169787259461322537e+04
1.635217404930063179e+00 -8.689638444342921986e+00 5.964437496100270103e-02 9.057601707579831726e-03 -2.080074519039447841e+04
1.647455849562313501e+00 -8.359800683017125422e+00 1.619402666066205310e-01 1.691413539810442471e-02 -2.038499274373477601e+04
1.218791211273931641e+00 -8.855174964023317941e+00 1.495221150537472399e-01 3.036073758911938050e-02 -1.958803202648433216e+04
1.099794174652452661e+00 -9.225812761751370772e+00 9.892691792363186853e-02 1.427114707099714878e-02 -1.928247157168243575e+04
1.590525086028782731e+00 -8.110820935017500233e+00 1.472164481329620855e-01 7.661366700467914237e-02 -1.871532855273866880e+04
2.928842795901970053e+00 -1.248631595025102925e+01 5.683541263035678942e-02 1.900065137867135287e-03 -1.856695700815657619e+04
1.218065134498990787e+00 -8.858344617324675596e+00 1.778359710840529684e-01 3.994221189826818036e-02 -1.842057393424375186e+04
2.284119838333277475e+00 -8.384099131761329815e+00 1.197572254172282191e-01 5.919966512664621289e-03 -1.813158859166684852e+04
1.337185956492120908e+00 -1.268084591008851980e+01 8.234882020403029579e-02 1.124822431720429302e-03 -1.792657117773413484e+04
1.581352949798156660e+00 -8.194365458735857644e+00 1.819738746969721821e-01 8.613189142926569453e-02 -1.755974107751300471e+04
1.724634439936961527e+00 -8.105768334162419819e+00 2.387655024171204121e-01 5.097306966075054735e-02 -1.743789311721253762e+04
2.632242299509034211e+00 -8.479650946764028419e+00 8.315485936054942129e-02 4.257030204084755361e-03 -1.712299107253895636e+04
1.658992801017167285e+00 -8.451746597934501892e+00 1.433447223571492346e-01 4.156122789217780999e-02 -1.680540023820571514e+04
1.708467121114870535e+00 -8.580476816389392525e+00 1.191283477468010610e-01 2.964626500199617556e-02 -1.660173580590804340e+04
1.092466408998582050e+00 -1.148923114143302371e+01 5.827405119013537999e-02 3.793009128136359993e-03 -1.634893410975831648e+04
1.200997074336956016e+00 -9.295825094664067478e+00 1.478057191439710039e-01 9.963091896101639380e-03 -1.634659983892025775e+04
1.710066228477482575e+00 -8.278258007245113959e+00 2.160526966019546413e-01 5.295950357748280268e-02 -1.615325699094339689e+04
1.765365840485776605e+00 -8.036976603728446023e+00 2.349888000295384249e-01 8.833923031457072139e-02 -1.601625798253614812e+04
1.639330969579275488e+00 -8.896954055704378916e+00 1.187579101296457468e-01 1.667673185862409563e-02 -1.597043440561673196e+04
1.936400831014053914e+00 -8.139652674400267074e+00 1.207360977134414731e-01 5.202248090190475516e-02 -1.593613400873816499e+04
1.540857769031491742e+00 -8.421528949893113847e+00 1.354955139200320624e-01 9.376118448944410766e-02 -1.585778967270832618e+04
2.115713383448364127e+00 -8.540401855175598911e+00 1.102313755663816980e-01 1.716054081919953303e-02 -1.569746173316294880e+04
1.398132346194763453e+00 -9.014343424613873168e+00 5.940268401205959364e-02 3.830278770668973931e-02 -1.560944356608624730e+04
1.207605873469944857e+00 -8.940227941106190457e+00 1.390520217761250232e-01 9.104692452251816892e-02 -1.543118251827636777e+04
1.825436770710819001e+00 -8.474703114027329676e+00 1.491812289258951374e-01 3.569020582309186118e-02 -1.541487977116575712e+04
1.039531567189986294e+00 -9.606953335837832952e+00 1.062048714136438199e-01 7.942950267944238682e-03 -1.538091131130813301e+04
1.240981956700243360e+00 -9.251289301860925463e+00 8.891418617179257244e-02 2.613610419753283065e-02 -1.535059747860861899e+04
1.933733027324450182e+00 -8.606275352777515764e+00 1.164763522590097633e-01 2.417221105493215852e-02 -1.531001756341140390e+04
1.900034166230858412e+00 -8.105592369464753588e+00 8.170825148109586711e-02 7.863045641511708095e-02 -1.512849381259489383e+04
1.968106487341902522e+00 -8.114527041743134106e+00 2.245162582342358215e-01 4.134746438169104726e-02 -1.497156223570335169e+04
2.050788672857863926e+00 -1.179359471355332545e+01 6.259736244503109892e-02 6.221715028772678742e-03 -1.496631977675685812e+04
1.696475298044257229e+00 -8.502718848554220443e+00 6.570772066516279708e-02 6.590590163806908652e-02 -1.492387469512573261e+04
1.744849353806226855e+00 -8.297115700332735599e+00 1.338471762499512663e-01 8.451545483775232959e-02 -1.490482593836366141e+04
2.164716852831495508e+00 -8.071818913391862083e+00 6.465640149294855921e-02 5.450205623134782296e-02 -1.474274869712049258e+04
1.870095206579547087e+00 -8.218055429048824578e+00 2.271364337554400148e-01 4.988490963976806303e-02 -1.461030685632362110e+04
2.225386469604339723e+00 -8.186233019760823737e+00 1.203155939340846692e-01 4.078977493239393376e-02 -1.457195859418746841e+04
2.306460477021714972e+00 -8.019417724772566203e+00 7.610266581014378529e-02 5.046761594310333887e-02 -1.449742288900467429e+04
1.231235232730167883e+00 -9.010085194390482499e+00 1.645235974506352172e-01 8.744359911622796855e-02 -1.405032960093463407e+04
1.634050404767185993e+00 -8.711070307830228288e+00 2.359854265351956637e-01 1.067242611520495890e-02 -1.399068656385414579e+04
1.362347014008203017e+00 -9.145980940861193176e+00 7.751614955031627119e-02 4.490372705759743122e-02 -1.391251222444254563e+04
